"VLTRADERID","WRITETIME","STATUSDETAIL","STATUS","NAME","ID"
"1","2013-03-04 13:40:21.336","","Good","Widgit","0"
"777","2013-03-04 13:40:21.337","WindowsME_BROKE","Warning","flashyThing","1"
"1","2013-03-04 13:40:21.337","Partial","Problem","Widgit","2"
"777","2013-03-04 13:40:21.337","","Good","flashyThing","3"
"1","2013-03-04 13:40:21.338","Partial","Warning","Widgit","4"
"777","2013-03-04 13:40:21.338","WindowsME_BROKE","Problem","flashyThing","5"
"1","2013-03-04 13:40:21.339","","Good","Widgit","6"
"777","2013-03-04 13:40:21.339","WindowsME_BROKE","Warning","flashyThing","7"
"1","2013-03-04 13:40:21.339","Partial","Problem","Widgit","8"
"777","2013-03-04 13:40:21.34","","Good","flashyThing","9"
"1","2013-03-04 13:40:21.34","Partial","Warning","Widgit","10"
"777","2013-03-04 13:40:21.34","WindowsME_BROKE","Problem","flashyThing","11"
"1","2013-03-04 13:40:21.341","","Good","Widgit","12"
"777","2013-03-04 13:40:21.341","WindowsME_BROKE","Warning","flashyThing","13"
"1","2013-03-04 13:40:21.341","Partial","Problem","Widgit","14"
"777","2013-03-04 13:40:21.342","","Good","flashyThing","15"
"1","2013-03-04 13:40:21.342","Partial","Warning","Widgit","16"
"777","2013-03-04 13:40:21.342","WindowsME_BROKE","Problem","flashyThing","17"
"1","2013-03-04 13:40:21.343","","Good","Widgit","18"
"777","2013-03-04 13:40:21.343","WindowsME_BROKE","Warning","flashyThing","19"
"1","2013-03-04 13:40:21.343","Partial","Problem","Widgit","20"
"777","2013-03-04 13:40:21.344","","Good","flashyThing","21"
"1","2013-03-04 13:40:21.344","Partial","Warning","Widgit","22"
"777","2013-03-04 13:40:21.345","WindowsME_BROKE","Problem","flashyThing","23"
"1","2013-03-04 13:40:21.345","","Good","Widgit","24"
"777","2013-03-04 13:40:21.345","WindowsME_BROKE","Warning","flashyThing","25"
"1","2013-03-04 13:40:21.346","Partial","Problem","Widgit","26"
"777","2013-03-04 13:40:21.346","","Good","flashyThing","27"
"1","2013-03-04 13:40:21.346","Partial","Warning","Widgit","28"
"777","2013-03-04 13:40:21.347","WindowsME_BROKE","Problem","flashyThing","29"
"1","2013-03-04 13:40:21.347","","Good","Widgit","30"
"777","2013-03-04 13:40:21.348","WindowsME_BROKE","Warning","flashyThing","31"
"1","2013-03-04 13:40:21.348","Partial","Problem","Widgit","32"
"777","2013-03-04 13:40:21.349","","Good","flashyThing","33"
"1","2013-03-04 13:40:21.349","Partial","Warning","Widgit","34"
"777","2013-03-04 13:40:21.349","WindowsME_BROKE","Problem","flashyThing","35"
"1","2013-03-04 13:40:21.35","","Good","Widgit","36"
"777","2013-03-04 13:40:21.35","WindowsME_BROKE","Warning","flashyThing","37"
"1","2013-03-04 13:40:21.351","Partial","Problem","Widgit","38"
"777","2013-03-04 13:40:21.351","","Good","flashyThing","39"
"1","2013-03-04 13:40:21.351","Partial","Warning","Widgit","40"
"777","2013-03-04 13:40:21.352","WindowsME_BROKE","Problem","flashyThing","41"
"1","2013-03-04 13:40:21.352","","Good","Widgit","42"
"777","2013-03-04 13:40:21.352","WindowsME_BROKE","Warning","flashyThing","43"
"1","2013-03-04 13:40:21.353","Partial","Problem","Widgit","44"
"777","2013-03-04 13:40:21.353","","Good","flashyThing","45"
"1","2013-03-04 13:40:21.353","Partial","Warning","Widgit","46"
"777","2013-03-04 13:40:21.354","WindowsME_BROKE","Problem","flashyThing","47"
"1","2013-03-04 13:40:21.356","","Good","Widgit","48"
"777","2013-03-04 13:40:21.356","WindowsME_BROKE","Warning","flashyThing","49"
"1","2013-03-04 13:40:21.356","Partial","Problem","Widgit","50"
"777","2013-03-04 13:40:21.357","","Good","flashyThing","51"
"1","2013-03-04 13:40:21.357","Partial","Warning","Widgit","52"
"777","2013-03-04 13:40:21.358","WindowsME_BROKE","Problem","flashyThing","53"
"1","2013-03-04 13:40:21.358","","Good","Widgit","54"
"777","2013-03-04 13:40:21.358","WindowsME_BROKE","Warning","flashyThing","55"
"1","2013-03-04 13:40:21.359","Partial","Problem","Widgit","56"
"777","2013-03-04 13:40:21.359","","Good","flashyThing","57"
"1","2013-03-04 13:40:21.359","Partial","Warning","Widgit","58"
"777","2013-03-04 13:40:21.36","WindowsME_BROKE","Problem","flashyThing","59"
"1","2013-03-04 13:40:21.361","","Good","Widgit","60"
"777","2013-03-04 13:40:21.361","WindowsME_BROKE","Warning","flashyThing","61"
"1","2013-03-04 13:40:21.362","Partial","Problem","Widgit","62"
"777","2013-03-04 13:40:21.362","","Good","flashyThing","63"
"1","2013-03-04 13:40:21.362","Partial","Warning","Widgit","64"
"777","2013-03-04 13:40:21.363","WindowsME_BROKE","Problem","flashyThing","65"
"1","2013-03-04 13:40:21.363","","Good","Widgit","66"
"777","2013-03-04 13:40:21.363","WindowsME_BROKE","Warning","flashyThing","67"
"1","2013-03-04 13:40:21.364","Partial","Problem","Widgit","68"
"777","2013-03-04 13:40:21.364","","Good","flashyThing","69"
"1","2013-03-04 13:40:21.365","Partial","Warning","Widgit","70"
"777","2013-03-04 13:40:21.365","WindowsME_BROKE","Problem","flashyThing","71"
"1","2013-03-04 13:40:21.365","","Good","Widgit","72"
"777","2013-03-04 13:40:21.366","WindowsME_BROKE","Warning","flashyThing","73"
"1","2013-03-04 13:40:21.366","Partial","Problem","Widgit","74"
"777","2013-03-04 13:40:21.366","","Good","flashyThing","75"
"1","2013-03-04 13:40:21.367","Partial","Warning","Widgit","76"
"777","2013-03-04 13:40:21.368","WindowsME_BROKE","Problem","flashyThing","77"
"1","2013-03-04 13:40:21.369","","Good","Widgit","78"
"777","2013-03-04 13:40:21.369","WindowsME_BROKE","Warning","flashyThing","79"
"1","2013-03-04 13:40:21.37","Partial","Problem","Widgit","80"
"777","2013-03-04 13:40:21.37","","Good","flashyThing","81"
"1","2013-03-04 13:40:21.371","Partial","Warning","Widgit","82"
"777","2013-03-04 13:40:21.371","WindowsME_BROKE","Problem","flashyThing","83"
"1","2013-03-04 13:40:21.372","","Good","Widgit","84"
"777","2013-03-04 13:40:21.372","WindowsME_BROKE","Warning","flashyThing","85"
"1","2013-03-04 13:40:21.373","Partial","Problem","Widgit","86"
"777","2013-03-04 13:40:21.373","","Good","flashyThing","87"
"1","2013-03-04 13:40:21.374","Partial","Warning","Widgit","88"
"777","2013-03-04 13:40:21.374","WindowsME_BROKE","Problem","flashyThing","89"
"1","2013-03-04 13:40:21.375","","Good","Widgit","90"
